Owner Name,Card Name,Set Name,Quantity,Purchase Price
Devin,Iridescent Vinelasher,Bloomburrow,1,1.4
Devin,Nightshade Assassin,Commander 2019,1,0.08
Devin,Reanimate,Breaking News,1,6.24
Devin,Shoot the Sheriff,Outlaws of Thunder Junction,1,0.45
Devin,Murder,Breaking News,1,0.14
Devin,Rattleback Apothecary,Outlaws of Thunder Junction,1,0.12
Devin,Hollow Marauder,Outlaws of Thunder Junction,1,0.1
Devin,Hollow Marauder,Outlaws of Thunder Junction,1,0.16
Devin,Skulduggery,Outlaws of Thunder Junction,1,0.04
Devin,Rampaging Spiketail,The Lost Caverns of Ixalan,1,0.02
Devin,Blacksnag Buzzard,Outlaws of Thunder Junction,1,0.02
Devin,Consuming Ashes,Outlaws of Thunder Junction,1,0.05
Devin,Ambush Gigapede,Outlaws of Thunder Junction,1,0.05
Devin,Vault Plunderer,Outlaws of Thunder Junction,1,0.03
Devin,Tinybones Joins Up,Outlaws of Thunder Junction,1,0.84
Devin,Desperate Bloodseeker,Outlaws of Thunder Junction,1,0.04
Devin,Overzealous Muscle,Outlaws of Thunder Junction,1,0.02
Devin,Rakish Crew,Outlaws of Thunder Junction,1,0.09
Devin,Binding Negotiation,Outlaws of Thunder Junction,1,0.07
Devin,Overwhelming Forces,Breaking News,1,0.95
Devin,Boneyard Desecrator,Outlaws of Thunder Junction,1,0.05
Devin,"Kaervek, the Punisher",Outlaws of Thunder Junction,1,0.23
Devin,Nezumi Linkbreaker,Outlaws of Thunder Junction,1,0.06
Devin,Servant of the Stinger,Outlaws of Thunder Junction,1,0.1
Devin,Forsaken Miner,Outlaws of Thunder Junction,1,0.31
Devin,Boneyard Desecrator,Outlaws of Thunder Junction,1,0.04
Devin,Rush of Dread,Outlaws of Thunder Junction,1,0.63
Devin,Heartless Pillage,Breaking News,1,0.04
Devin,Consuming Ashes,Outlaws of Thunder Junction,1,0.04
Devin,Unscrupulous Contractor,Outlaws of Thunder Junction,2,0.1
Devin,Fanatical Offering,The Lost Caverns of Ixalan,1,0.16
Devin,Acolyte of Aclazotz,The Lost Caverns of Ixalan,1,0.02
Devin,Malicious Eclipse,The Lost Caverns of Ixalan,1,0.23
Devin,Chupacabra Echo,The Lost Caverns of Ixalan,1,0.04
Devin,Stinging Cave Crawler,The Lost Caverns of Ixalan,1,0.05
Devin,Soulcoil Viper,The Lost Caverns of Ixalan,1,0.02
Devin,Sinister Monolith,Bloomburrow,1,0.13
Devin,Downwind Ambusher,Bloomburrow,1,0.03
Devin,Early Winter,Bloomburrow,1,0.02
Devin,Psychic Whorl,Bloomburrow,1,0.02
Devin,Scales of Shale,Bloomburrow,1,0.02
Devin,Thornplate Intimidator,Bloomburrow,1,0.04
Devin,Unholy Annex // Ritual Chamber,Duskmourn: House of Horror,1,3.52
Devin,Sporogenic Infection,Duskmourn: House of Horror,1,0.08
Devin,Enduring Tenacity,Duskmourn: House of Horror,1,3.99
Devin,Grievous Wound,Duskmourn: House of Horror,1,0.42
Devin,Give In to Violence,Duskmourn: House of Horror,1,0.02
Devin,Commune with Evil,Duskmourn: House of Horror,1,0.04
Devin,Miasma Demon,Duskmourn: House of Horror,1,0.03
Devin,Final Vengeance,Duskmourn: House of Horror,1,0.13
Devin,Let's Play a Game,Duskmourn: House of Horror,1,0.03
Devin,Fear of the Dark,Duskmourn: House of Horror,1,0.07
Devin,Nadier's Nightblade,Bloomburrow Commander,1,0.1
Devin,Marionette Apprentice,Modern Horizons 3,1,1.19
Devin,Scurrilous Sentry,Modern Horizons 3,1,0.01
Devin,Consuming Corruption,Modern Horizons 3,1,0.18
Devin,Retrofitted Transmogrant,Modern Horizons 3,1,0.06
Devin,Starlit Soothsayer,Bloomburrow,1,0.02
Devin,Valley Rotcaller,Bloomburrow,1,2.03
Devin,Ambush Gigapede,Outlaws of Thunder Junction,1,0.04
Devin,Cynical Loner,Duskmourn: House of Horror,1,0.08
Devin,Demonic Counsel,Duskmourn: House of Horror,1,1.59
Devin,Unholy Annex // Ritual Chamber,Duskmourn: House of Horror,1,2.69
Devin,Come Back Wrong,Duskmourn: House of Horror,1,0.28
Devin,Withering Torment,Duskmourn: House of Horror,1,1.93
Devin,Murder,Duskmourn: House of Horror,1,0.06
Devin,Defiled Crypt // Cadaver Lab,Duskmourn: House of Horror,1,0.22
Devin,Defiled Crypt // Cadaver Lab,Duskmourn: House of Horror,2,0.18
Devin,Live or Die,Duskmourn: House of Horror,1,0.06
Devin,Rise of the Dark Realms,Foundations,1,3.67
Devin,Tragic Banshee,Foundations,1,0.03
Devin,Painful Quandary,Foundations,1,0.87
Devin,Vampire Soulcaller,Foundations,1,0.06
Devin,Hero's Downfall,Foundations,1,0.14
Devin,Pilfer,Foundations,1,0.04
Devin,Bake into a Pie,Foundations,1,0.02
Devin,Revenge of the Rats,Foundations,1,0.13
Devin,Burglar Rat,Foundations,1,0.04
Devin,Sanguine Syphoner,Foundations,1,0.07
Devin,Arbiter of Woe,Foundations,1,0.08
Devin,Midnight Snack,Foundations,1,0.13
Devin,Exsanguinate,Foundations,1,0.34
Devin,Ravine Raider,Bloomburrow,1,0.02
Devin,Soul-Shackled Zombie,Foundations,1,0.03
Devin,Ecstatic Awakener // Awoken Demon,Innistrad Remastered,1,0.04
Devin,Olivia's Dragoon,Innistrad Remastered,1,0.02
Devin,Phyrexian Arena,Foundations,1,0.68
Devin,Sporogenic Infection,Duskmourn: House of Horror,1,0.08
Devin,Incremental Blight,Archenemy,1,0.35
Devin,Fake Your Own Death,Foundations,4,0.06
Devin,Deathless Pilot,Aetherdrift,2,0.03
Devin,Innocuous Rat,Duskmourn: House of Horror,4,0.04
Devin,Macabre Waltz,Foundations,2,0.06
Devin,Zombify,Foundations,2,0.13
Devin,Locust Spray,Aetherdrift,2,0.08
Devin,Derelict Attic // Widow's Walk,Duskmourn: House of Horror,3,0.04
Devin,Nowhere to Run,Duskmourn: House of Horror,2,1.69
Devin,Grim Bauble,Aetherdrift,2,0.18
Devin,Give In to Violence,Duskmourn: House of Horror,4,0.04
Devin,Cracked Skull,Duskmourn: House of Horror,4,0.02
Devin,Infestation Sage,Foundations,2,0.06
Devin,Blacksnag Buzzard,Outlaws of Thunder Junction,3,0.03
Devin,Crypt Feaster,Foundations,2,0.02
Devin,"Kalakscion, Hunger Tyrant",Aetherdrift,2,0.13
Devin,Consumed by Greed,Bloomburrow,2,0.08
Devin,Raven of Fell Omens,Outlaws of Thunder Junction,2,0.07
Devin,Resurrected Cultist,Duskmourn: House of Horror,5,0.01
Devin,Murder,Duskmourn: House of Horror,2,0.02
Devin,Spectral Snatcher,Duskmourn: House of Horror,4,0.02
Devin,Winter's Intervention,Duskmourn: House of Horror,3,0.02
Devin,Fear of the Dark,Duskmourn: House of Horror,3,0.04
Devin,Chitin Gravestalker,Aetherdrift,2,0.09
Devin,Gutless Plunderer,Foundations,4,0.02
Devin,Bonebind Orator,Bloomburrow,2,0.02
Devin,Final Vengeance,Duskmourn: House of Horror,3,0.06
Devin,Stab,Foundations,2,0.05
Devin,Spin Out,Aetherdrift,3,0.03
Devin,Cackling Slasher,Duskmourn: House of Horror,5,0.03
Devin,Dashing Bloodsucker,Duskmourn: House of Horror,2,0.02
Devin,Mourner's Surprise,Outlaws of Thunder Junction,3,0.05
Devin,Balemurk Leech,Duskmourn: House of Horror,5,0.03
Devin,Reassembling Skeleton,Foundations,2,0.1
Devin,Fear of Lost Teeth,Duskmourn: House of Horror,3,0.02
Devin,Rooftop Assassin,Outlaws of Thunder Junction,3,0.06
Devin,Fanatic of the Harrowing,Duskmourn: House of Horror,3,0.03
Devin,Corrupted Conviction,Outlaws of Thunder Junction,2,0.19
Devin,Appendage Amalgam,Duskmourn: House of Horror,3,0.04
Devin,Popular Egotist,Duskmourn: House of Horror,2,0.06
Devin,Eaten Alive,Innistrad Remastered,2,0.02
Devin,Ironpaw Aspirant,The Lost Caverns of Ixalan,1,0.04
Devin,Illustrious Wanderglyph,The Lost Caverns of Ixalan Commander,1,11.86
Devin,Bellowing Aegisaur,The Lost Caverns of Ixalan Commander,1,0.11
Devin,From the Rubble,The Lost Caverns of Ixalan Commander,1,0.1
Devin,Akroma's Will,Modern Horizons 3 Commander,1,9.14
Devin,Path to Exile,Outlaws of Thunder Junction Commander,1,0.9
Devin,Generous Gift,The Lost Caverns of Ixalan Commander,1,0.71
Devin,Sphere of Safety,Duskmourn: House of Horror Commander,1,2.8
Devin,Driftgloom Coyote,Bloomburrow,1,0.02
Devin,Shrike Force,Bloomburrow,1,0.1
Devin,Wax-Wane Witness,Bloomburrow,1,0.04
Devin,Rabbit Response,Bloomburrow,1,0.06
Devin,Dewdrop Cure,Bloomburrow,1,0.17
Devin,Inspired Inventor,Modern Horizons 3,1,0.03
Devin,Distinguished Conjurer,Modern Horizons 3,1,0.09
Devin,Mandibular Kite,Modern Horizons 3,1,0.04
Devin,Intrepid Rabbit,Bloomburrow,1,0.04
Devin,Nettle Guard,Bloomburrow,1,0.04
Devin,Star Charter,Bloomburrow,1,0.06
Devin,Fear of Abduction,Duskmourn: House of Horror,1,0.04
Devin,Grand Entryway // Elegant Rotunda,Duskmourn: House of Horror,1,0.05
Devin,Cult Healer,Duskmourn: House of Horror,1,0.02
Devin,Prideful Parent,Foundations,1,0.04
Devin,Ajani's Pridemate,Foundations,1,0.09
Devin,Make Your Move,Foundations,1,0.05
Devin,Healer's Hawk,Foundations,1,0.08
Devin,Cat Collector,Foundations,1,0.18
Devin,Raise the Past,Foundations,1,1.94
Devin,Banishing Light,Foundations,1,0.04
Devin,Squad Rallier,Foundations,1,0.02
Devin,Authority of the Consuls,Foundations,1,5.64
Devin,Angel of Finality,Foundations,1,0.09
Devin,Savannah Lions,Foundations,1,0.05
Devin,Lifecreed Duo,Bloomburrow,1,0.1
Devin,Delaying Shield,Odyssey,1,3.23
Devin,Soul-Guide Gryff,Innistrad Remastered,1,0.04
Devin,Valorous Stance,Innistrad Remastered,1,0.06
Devin,Rally the Peasants,Innistrad Remastered,1,0.03
Devin,Slayer of the Wicked,Innistrad Remastered,1,0.02
Devin,Twinblade Geist // Twinblade Invocation,Innistrad Remastered,1,0.04
Devin,Angelic Purge,Innistrad Remastered,1,0.02
Devin,Holy Cow,Outlaws of Thunder Junction,1,0.09
Devin,Ethereal Armor,Duskmourn: House of Horror,1,0.32
Devin,Split Up,Duskmourn: House of Horror,1,3.72
Devin,Jump Scare,Duskmourn: House of Horror,1,0.03
Devin,Friendly Ghost,Duskmourn: House of Horror,1,0.02
Devin,To Arms!,Ravnica Remastered,1,0.22
Devin,Kinjalli's Caller,Ixalan,1,0.26
Devin,"Basri, Tomorrow's Champion",Aetherdrift,1,0.6
Devin,Broadcast Rambler,Aetherdrift,1,0.05
Devin,Ride's End,Aetherdrift,1,0.11
Devin,Alacrian Armory,Aetherdrift,1,0.08
Devin,Park Re-Entry,Unfinity,1,0.03
Devin,Jetpack Janitor,Unfinity,1,0.03
Devin,Aerialephant,Unfinity,1,0.03
Devin,Rescuer Chwinga,Commander Legends: Battle for Baldur's Gate,1,0.07
Devin,Spotcycle Scouter,Aetherdrift,1,0.02
Devin,Dusk // Dawn,Aetherdrift Commander,1,0.13
Devin,Timeless Dragon,Aetherdrift Commander,1,0.11
Devin,Angel of Sanctions,Aetherdrift Commander,1,0.15
Devin,Priest of the Crossing,Aetherdrift Commander,1,0.36
Devin,Leonin Surveyor,Aetherdrift,1,0.03
Devin,Broadcast Rambler,Aetherdrift,1,0.01
Devin,Lightwheel Enhancements,Aetherdrift,2,0.04
Devin,Nesting Bot,Aetherdrift,1,0.17
Devin,Gallant Strike,Aetherdrift,1,0.08
Devin,"Skrelv, Defector Mite",Phyrexia: All Will Be One,1,2.38
Devin,Daring Mechanic,Aetherdrift,1,0.08
Devin,Brightfield Glider,Aetherdrift,1,0.03
Devin,Interface Ace,Aetherdrift,1,0.06
Devin,Joust Through,Foundations,1,0.04
